codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7
120,12,2016-02-01,4.73,0.76,0.0,0.0,0.0,0.0,0.0
120,12,2016-02-08,14.940000000000001,4.73,4.73,0.0,0.0,0.0,0.0
120,12,2016-02-15,44.91,26.0,14.94,0.0,0.0,0.0,0.0
120,12,2016-02-22,53.14,44.91,44.91,0.0,0.0,0.0,0.0
120,12,2016-02-29,53.14,53.14,44.91,0.0,0.0,0.0,0.0
120,12,2016-03-07,75.21,56.3,56.3,0.0,0.0,0.0,0.0
120,12,2016-03-14,97.0,75.21,56.3,0.0,0.0,0.0,0.0
120,12,2016-03-21,97.50999999999999,97.0,75.21,0.0,0.0,0.0,0.0
120,12,2016-03-28,97.51,97.51,97.0,0.0,0.0,0.0,0.0
120,12,2016-04-04,97.52,97.52,97.52,14.940000000000001,4.73,0.0,0.0
120,12,2016-04-11,100.0,100.0,100.0,36.33,17.42,0.0,0.0
120,12,2016-04-18,100.0,100.0,100.0,47.4,17.430000000000003,0.76,0.0
16,13,2016-09-26,1.58,0.0,0.0,0.0,0.0,0.0,0.0
16,13,2016-10-03,14.93,1.58,0.0,0.0,0.0,0.0,0.0
16,13,2016-10-10,31.119999999999997,1.58,0.0,0.0,0.0,0.0,0.0
16,13,2016-10-17,58.10999999999999,33.66,4.12,0.0,0.0,0.0,0.0
16,13,2016-10-24,88.72999999999999,58.11,33.66,0.0,0.0,0.0,0.0
16,13,2016-10-31,99.73,88.73,58.11,0.0,0.0,0.0,0.0
16,13,2016-11-07,100.02000000000001,99.73,88.73,0.0,0.0,0.0,0.0
16,13,2016-11-14,100.3,100.3,99.73,4.12,0.0,0.0,0.0
16,13,2016-11-21,101.55,101.55,101.55,33.66,0.0,0.0,0.0
16,13,2016-11-28,100.0,100.0,100.0,33.66,0.0,0.0,0.0
16,13,2016-12-05,100.0,100.0,100.0,58.11,4.12,0.0,0.0
16,13,2016-12-12,100.0,100.0,100.0,88.73,4.12,0.0,0.0
16,13,2016-12-19,100.0,100.0,100.0,88.72999999999999,33.66,0.0,0.0
16,13,2016-12-26,100.0,100.0,100.0,99.72999999999999,58.11,0.0,0.0
16,13,2017-01-02,100.0,100.0,100.0,99.72999999999999,58.11,0.0,0.0
16,13,2017-01-09,100.0,100.0,100.0,99.73,88.73,0.0,0.0
16,13,2017-01-16,100.0,100.0,100.0,100.0,99.73,4.12,0.0
16,13,2017-01-23,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,4.12,0.32
16,13,2017-01-30,100.01,100.01,100.01,100.01,100.01,33.67,1.09
120,14,2017-02-06,0.89,0.0,0.0,0.0,0.0,0.0,0.0
120,14,2017-02-13,15.32,0.89,0.89,0.0,0.0,0.0,0.0
120,14,2017-02-20,42.31,28.6,15.32,0.0,0.0,0.0,0.0
120,14,2017-02-27,69.83000000000001,42.31,28.6,0.0,0.0,0.0,0.0
120,14,2017-03-06,103.88,69.83,42.31,0.0,0.0,0.0,0.0
120,14,2017-03-13,126.64999999999999,103.88,69.83,0.0,0.0,0.0,0.0
120,14,2017-03-20,103.88,103.88,103.88,0.0,0.0,0.0,0.0
120,14,2017-03-27,99.2,99.2,99.2,0.0,0.0,0.0,0.0
120,14,2017-04-03,100.0,100.0,100.0,0.89,0.0,0.0,0.0
120,14,2017-04-10,100.00000000000001,100.00000000000001,100.00000000000001,15.32,0.89,0.0,0.0
120,14,2017-04-17,100.00000000000001,100.00000000000001,100.00000000000001,15.32,0.89,0.0,0.0
120,14,2017-04-24,100.0,100.0,100.0,42.31,15.32,0.0,0.0
16,15,2017-10-02,1.04,0.0,0.0,0.0,0.0,0.0,0.0
16,15,2017-10-09,12.920000000000002,1.04,0.0,0.0,0.0,0.0,0.0
16,15,2017-10-16,56.84,12.920000000000002,1.04,0.0,0.0,0.0,0.0
16,15,2017-10-23,85.95,56.84,12.92,0.0,0.0,0.0,0.0
16,15,2017-10-30,88.55000000000001,88.55000000000001,56.84,0.0,0.0,0.0,0.0
16,15,2017-11-06,98.37,98.37,88.55,0.0,0.0,0.0,0.0
16,15,2017-11-13,100.0,100.0,98.37,0.0,0.0,0.0,0.0
16,15,2017-11-20,100.0,100.0,100.0,1.04,0.0,0.0,0.0
16,15,2017-11-27,100.0,100.0,100.0,1.04,0.0,0.0,0.0
16,15,2017-12-04,100.0,100.0,100.0,12.92,0.0,0.0,0.0
16,15,2017-12-18,100.0,100.0,100.0,100.0,12.92,0.0,0.0
16,15,2017-12-25,100.0,100.0,100.0,100.0,12.92,0.0,0.0
16,15,2018-01-01,100.0,100.0,100.0,100.0,12.92,0.0,0.0
16,15,2018-01-08,100.0,100.0,100.0,100.0,12.92,0.0,0.0
16,15,2018-01-15,100.0,100.0,100.0,100.0,88.55,0.0,0.0
16,15,2018-01-22,100.0,100.0,100.0,100.0,82.08,0.0,0.0
16,15,2018-01-29,99.99,99.99,99.99,99.99,98.36,12.92,0.0
16,15,2018-02-05,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,98.37,43.269999999999996,1.04
120,16,2018-02-19,2.29,0.0,0.0,0.0,0.0,0.0,0.0
120,16,2018-02-26,29.24,2.29,0.0,0.0,0.0,0.0,0.0
120,16,2018-03-05,61.49999999999999,29.24,2.29,0.0,0.0,0.0,0.0
120,16,2018-03-12,101.39,71.1,29.24,0.0,0.0,0.0,0.0
120,16,2018-03-19,100.75,90.35,67.02,0.0,0.0,0.0,0.0
120,16,2018-03-26,96.42,96.42,86.02,0.0,0.0,0.0,0.0
120,16,2018-04-02,96.42,96.42,96.42,0.0,0.0,0.0,0.0
120,16,2018-04-09,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,16,2018-04-16,100.0,100.0,100.0,2.29,0.0,0.0,0.0
18,16,2018-04-23,7.98,0.0,0.0,0.0,0.0,0.0,0.0
120,16,2018-04-23,100.0,100.0,100.0,27.8,0.0,0.0,0.0
16,17,2018-09-24,1.2000000000000002,0.4,0.0,0.0,0.0,0.0,0.0
16,17,2018-10-01,21.0,1.19,0.0,0.0,0.0,0.0,0.0
16,17,2018-10-08,78.55,26.75,1.19,0.0,0.0,0.0,0.0
16,17,2018-10-15,81.14,81.14,28.89,0.0,0.0,0.0,0.0
16,17,2018-10-22,91.32,81.13,81.13,0.0,0.0,0.0,0.0
16,17,2018-10-29,95.5,81.13,81.13,0.0,0.0,0.0,0.0
16,17,2018-11-05,98.08,91.33,91.33,0.0,0.0,0.0,0.0
16,17,2018-11-12,100.0,100.0,98.08,0.0,0.0,0.0,0.0
16,17,2018-11-19,100.0,100.0,100.0,1.19,0.0,0.0,0.0
16,17,2018-11-26,100.0,100.0,100.0,28.89,0.0,0.0,0.0
16,17,2018-12-03,100.0,100.0,100.0,81.13,0.0,0.0,0.0
16,17,2018-12-10,100.0,100.0,100.0,91.33,28.89,0.0,0.0
16,17,2018-12-17,100.0,100.0,100.0,98.08,28.89,0.0,0.0
16,17,2018-12-24,100.0,100.0,100.0,98.59,27.83,0.0,0.0
16,17,2018-12-31,100.0,100.0,100.0,98.59,27.83,0.0,0.0
16,17,2019-01-07,100.01,100.01,100.01,98.6,87.47,3.98,0.0
16,17,2019-01-14,100.0,100.0,100.0,100.0,95.41,27.83,0.0
16,17,2019-01-21,100.0,100.0,100.0,100.0,95.41,27.83,0.0
120,18,2019-02-04,4.81,0.0,0.0,0.0,0.0,0.0,0.0
120,18,2019-02-11,13.3,4.81,0.0,0.0,0.0,0.0,0.0
120,18,2019-02-18,55.86999999999999,27.349999999999998,7.77,0.0,0.0,0.0,0.0
120,18,2019-02-25,91.33000000000001,55.870000000000005,27.35,0.0,0.0,0.0,0.0
120,18,2019-03-04,93.15,82.01,52.59,0.0,0.0,0.0,0.0
120,18,2019-03-11,93.15,93.15,82.01,0.0,0.0,0.0,0.0
120,18,2019-03-18,93.15,93.15,82.01,0.0,0.0,0.0,0.0
120,18,2019-03-25,97.56,97.56,97.56,7.77,0.0,0.0,0.0
120,18,2019-04-01,100.0,100.0,100.0,27.6,0.0,0.0,0.0
120,18,2019-04-08,100.0,100.0,100.0,50.95,0.0,0.0,0.0
