codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7,n7tmed,p7tmax,p7tmin,p7ur,p7nprec,p7sprec,p7tmed,n7tmax,n7tmin,n7ur,n7nprec,n7sprec,p14tmed,p14tmax,p14tmin,p14ur,p14nprec,p14sprec,n14tmed,n14tmax,n14tmin,n14ur,n14nprec,n14sprec,p28tmed,p28tmax,p28tmin,p28ur,p28nprec,p28sprec,n28tmed,n28tmax,n28tmin,n28ur,n28nprec,n28sprec
16,9,2015-01-12,100.0,100.0,100.0,100.0,21.59,0.0,0.0,26.90625,32.325,21.4875,74.34375,-14.285714285714286,108.4,28.0125,34.1125,21.9125,66.34375,14.285714285714286,27.200000000000003,26.740000000000002,31.96666666666666,21.513333333333335,75.86666666666666,-14.285714285714286,136.8,27.42,33.15333333333333,21.68666666666667,66.45,14.285714285714286,50.2,26.35,31.379310344827587,21.320689655172416,74.25,-17.857142857142858,274.1,26.544827586206896,31.90344827586207,21.186206896551724,72.20689655172414,25.0,147.49999999999997
16,9,2015-01-19,78.96000000000001,78.96000000000001,78.96000000000001,78.96000000000001,63.56,0.0,0.0,28.0125,34.1125,21.9125,66.34375,-14.285714285714286,27.200000000000003,26.962500000000002,32.449999999999996,21.475,66.03125,14.285714285714286,31.4,27.43,33.14,21.719999999999995,70.2,-14.285714285714286,133.8,26.130000000000006,31.160000000000004,21.1,74.18333333333334,35.714285714285715,101.39999999999999,26.686206896551727,31.95862068965517,21.41379310344827,73.84482758620689,-17.857142857142858,276.9,25.975862068965515,30.941379310344825,21.010344827586206,76.3103448275862,32.142857142857146,208.90000000000006
16,9,2015-01-26,100.0,100.0,100.0,100.0,100.0,21.59,0.0,26.962500000000002,32.449999999999996,21.475,66.03125,-14.285714285714286,31.4,25.11875,29.7125,20.525,83.65625,71.42857142857143,89.80000000000001,27.42,33.15333333333333,21.68666666666667,66.45,-14.285714285714286,50.2,25.54666666666667,30.52,20.57333333333333,78.8,42.857142857142854,117.10000000000001,27.05172413793104,32.49655172413793,21.606896551724137,71.11206896551724,-14.285714285714286,185.2,25.536206896551718,30.151724137931033,20.92068965517241,80.39655172413794,39.285714285714285,274.90000000000003
16,9,2015-02-02,100.0,100.0,100.0,100.0,100.0,21.59,0.56,25.11875,29.7125,20.525,83.65625,-71.42857142857143,89.80000000000001,26.0625,31.425,20.700000000000003,72.96875,14.285714285714286,28.9,26.130000000000006,31.160000000000004,21.1,74.18333333333334,-35.714285714285715,101.39999999999999,25.84,30.74666666666667,20.933333333333337,78.08333333333333,28.571428571428573,109.1,26.720689655172414,32.0448275862069,21.396551724137936,72.53448275862068,-25.0,226.8,25.73965517241379,30.58275862068965,20.896551724137932,76.99137931034483,25.0,214.29999999999998
120,10,2015-02-16,5.4399999999999995,1.01,1.01,0.0,0.0,0.0,0.0,25.83125,30.3375,21.325,82.625,-42.857142857142854,80.2,25.1625,29.1625,21.1625,80.78125,28.571428571428573,87.0,25.84,30.74666666666667,20.933333333333337,78.08333333333333,-28.571428571428573,109.1,25.459999999999997,30.14666666666667,20.773333333333333,76.38333333333334,21.428571428571427,114.60000000000001,25.975862068965515,30.941379310344825,21.010344827586206,76.3103448275862,-32.142857142857146,208.90000000000006,25.43793103448276,30.28620689655172,20.589655172413792,77.8103448275862,39.285714285714285,390.4
120,10,2015-02-23,5.44,5.44,5.44,0.0,0.0,0.0,0.0,25.1625,29.1625,21.1625,80.78125,-28.571428571428573,87.0,26.112499999999997,31.612499999999997,20.612500000000004,69.625,14.285714285714286,27.6,25.66,29.966666666666665,21.353333333333335,81.53333333333333,-35.714285714285715,157.79999999999998,25.906666666666663,30.77333333333333,21.040000000000003,76.36666666666666,35.714285714285715,184.5,25.536206896551718,30.151724137931033,20.92068965517241,80.39655172413794,-39.285714285714285,274.90000000000003,25.546551724137935,30.748275862068958,20.3448275862069,74.11206896551724,32.142857142857146,304.29999999999995
120,10,2015-03-02,33.8,14.809999999999999,5.44,0.0,0.0,0.0,0.0,26.112499999999997,31.612499999999997,20.612500000000004,69.625,-14.285714285714286,27.6,25.65625,29.900000000000002,21.4125,81.8125,57.142857142857146,156.9,25.459999999999997,30.14666666666667,20.773333333333333,76.38333333333334,-21.428571428571427,114.60000000000001,25.423333333333336,30.440000000000005,20.40666666666667,78.45,57.142857142857146,275.8,25.73965517241379,30.58275862068965,20.896551724137932,76.99137931034483,-25.0,214.29999999999998,25.351724137931036,30.424137931034476,20.279310344827582,74.22413793103448,32.142857142857146,302.59999999999997
120,10,2015-03-09,43.169999999999995,33.8,33.8,0.0,0.0,0.0,0.0,25.65625,29.900000000000002,21.4125,81.8125,-57.142857142857146,156.9,25.04375,30.7875,19.3,76.0625,71.42857142857143,192.59999999999997,25.906666666666663,30.77333333333333,21.040000000000003,76.36666666666666,-35.714285714285715,184.5,25.1,30.600000000000005,19.6,72.66666666666667,35.714285714285715,193.49999999999997,25.696551724137933,30.244827586206892,21.148275862068964,79.6896551724138,-35.714285714285715,342.3,25.07586206896552,30.444827586206895,19.706896551724142,70.04310344827586,25.0,252.79999999999998
120,10,2015-03-16,72.92,60.26,33.8,0.0,0.0,0.0,0.0,25.04375,30.7875,19.3,76.0625,-71.42857142857143,192.59999999999997,25.3125,30.65,19.975,68.84375,14.285714285714286,20.7,25.423333333333336,30.440000000000005,20.40666666666667,78.45,-57.142857142857146,275.8,25.346666666666668,30.546666666666663,20.146666666666665,69.66666666666667,14.285714285714286,46.6,25.43793103448276,30.28620689655172,20.589655172413792,77.8103448275862,-39.285714285714285,390.4,24.948275862068964,30.279310344827586,19.617241379310343,66.28448275862068,10.714285714285714,80.0
120,10,2015-03-23,87.34,72.91,60.25,0.0,0.0,0.0,0.0,25.3125,30.65,19.975,68.84375,-14.285714285714286,20.7,25.3625,30.5625,20.1625,69.75,14.285714285714286,25.9,25.1,30.600000000000005,19.6,72.66666666666667,-35.714285714285715,193.49999999999997,25.06,30.36,19.759999999999998,67.0,14.285714285714286,59.3,25.546551724137935,30.748275862068958,20.3448275862069,74.11206896551724,-32.142857142857146,304.29999999999995,24.856896551724134,29.993103448275864,19.720689655172414,68.14655172413794,7.142857142857143,79.89999999999999
120,10,2015-03-30,99.64,87.34,72.91,0.0,0.0,0.0,0.0,25.3625,30.5625,20.1625,69.75,-14.285714285714286,25.9,24.68125,29.95,19.412499999999998,66.125,14.285714285714286,39.8,25.346666666666668,30.546666666666663,20.146666666666665,69.66666666666667,-14.285714285714286,46.6,24.51666666666667,29.90666666666667,19.126666666666665,63.95,7.142857142857143,39.8,25.351724137931036,30.424137931034476,20.279310344827582,74.22413793103448,-32.142857142857146,302.59999999999997,24.487931034482763,29.444827586206898,19.531034482758617,69.51724137931035,10.714285714285714,102.4
